NO,LABEL,NAME,CONTACT
0,B2000_EMO1Switch,N0001_EMO1Switch,False
1,B2001_EMO2Switch,N0002_EMO2Switch,False
2,B2002_EMO3Switch,N0003_EMO3Switch,False
3,B2003_EMO4Switch,N0004_EMO4Switch,False
4,B2004_,N0005_,False
5,B2005_,N0006_,False
6,B2006_,N0007_,False
7,B2007_ResetSwitch,N0008_ResetSwitch,False
8,B2008_DoorLockSensor1FrontRight,N0009_DoorLockSensor1FrontRight,False
9,B2009_DoorLockSensor2FrontCentral,N0010_DoorLockSensor2FrontCentral,False
10,B200A_DoorLockSensor3FrontLeft,N0011_DoorLockSensor3FrontLeft,False
11,B200B_DoorLockSensor4RearRight,N0012_DoorLockSensor4RearRight,False
12,B200C_DoorLockSensor5RearCentral,N0013_DoorLockSensor5RearCentral,False
13,B200D_DoorLockSensor6RearLeft,N0014_DoorLockSensor6RearLeft,False
14,B200E_Spare,N0015_Spare,False
15,B200F_Spare,N0016_Spare,False
16,B2010_CPTripSignal_LE_UE1_UE2_UE3_UE4_AXISServoPowerTrip,N0017_CPTripSignal_LE_UE1_UE2_UE3_UE4_AXISServoPowerTrip,False
17,B2011_CPTripSignal_BCX_BCY_LP_UPY_AXISServoPowerTrip,N0018_CPTripSignal_BCX_BCY_LP_UPY_AXISServoPowerTrip,False
18,B2012_CPTripSignal_UPX_AXISServoPowerTrip,N0019_CPTripSignal_UPX_AXISServoPowerTrip,False
19,B2013_CPTripSignal_Z1_Z2_AXISServoPowerTrip,N0020_CPTripSignal_Z1_Z2_AXISServoPowerTrip,False
20,B2014_CPTripSignal_X1_AXISServoPowerTrip,N0021_CPTripSignal_X1_AXISServoPowerTrip,False
21,B2015_CPTripSignal_X2_AXISServoPowerTrip,N0022_CPTripSignal_X2_AXISServoPowerTrip,False
22,B2016_CPTripSignal_ALX_PR1_PR2_PR3_PR4_AXISServoPowerTrip,N0023_CPTripSignal_ALX_PR1_PR2_PR3_PR4_AXISServoPowerTrip,False
23,B2017_CPTripSignal_FanPowerTrip,N0024_CPTripSignal_FanPowerTrip,False
24,B2018_ELCBTripSignal_FFUPowerTrip,N0025_ELCBTripSignal_FFUPowerTrip,False
25,B2019_ELCBTripSignal_ServoDriverControlPowerTrip,N0026_ELCBTripSignal_ServoDriverControlPowerTrip,False
26,B201A_ELCBTripSignal_ServicePlugPower,N0027_ELCBTripSignal_ServicePlugPower,False
27,B201B_ELCBTripSignal_ControllerPlugPower,N0028_ELCBTripSignal_ControllerPlugPower,False
28,B201C_LE_AXISIn_positionSignal,N0029_LE_AXISIn_positionSignal,False
29,B201D_UE1_AXISIn_positionSignal,N0030_UE1_AXISIn_positionSignal,False
30,B201E_UE2_AXISIn_positionSignal,N0031_UE2_AXISIn_positionSignal,False
31,B201F_UE3_AXISIn_positionSignal,N0032_UE3_AXISIn_positionSignal,False
32,B2020_UE4_AXISIn_positionSignal,N0033_UE4_AXISIn_positionSignal,False
33,B2021_BCX_AXISIn_positionSignal,N0034_BCX_AXISIn_positionSignal,False
34,B2022_BCY_AXISIn_positionSignal,N0035_BCY_AXISIn_positionSignal,False
35,B2023_LP_AXISIn_positionSignal,N0036_LP_AXISIn_positionSignal,False
36,B2024_UPX_AXISIn_positionSignal,N0037_UPX_AXISIn_positionSignal,False
37,B2025_UPY_AXISIn_positionSignal,N0038_UPY_AXISIn_positionSignal,False
38,B2026_Z1_AXISIn_positionSignal,N0039_Z1_AXISIn_positionSignal,False
39,B2027_Z2_AXISIn_positionSignal,N0040_Z2_AXISIn_positionSignal,False
40,B2028_ALX_AXISIn_positionSignal,N0041_ALX_AXISIn_positionSignal,False
41,B2029_ALY_AXISIn_positionSignal,N0042_ALY_AXISIn_positionSignal,False
42,B202A_X1_AXISIn_positionSignal,N0043_X1_AXISIn_positionSignal,False
43,B202B_X2_AXISIn_positionSignal,N0044_X2_AXISIn_positionSignal,False
44,B202C_PR1_AXISIn_positionSignal,N0045_PR1_AXISIn_positionSignal,False
45,B202D_PR2_AXISIn_positionSignal,N0046_PR2_AXISIn_positionSignal,False
46,B202E_PR3_AXISIn_positionSignal,N0047_PR3_AXISIn_positionSignal,False
47,B202F_PR4_AXISIn_positionSignal,N0048_PR4_AXISIn_positionSignal,False
48,B2030_LoadingMaterialCheckSensor,N0049_LoadingMaterialCheckSensor,False
49,B2031_LoadingPositionCheckSensor,N0050_LoadingPositionCheckSensor,False
50,B2032_LoaderPickerCylinderUpCheckSensor,N0051_LoaderPickerCylinderUpCheckSensor,False
51,B2033_LoaderPickerCylinderDownCheckSensor,N0052_LoaderPickerCylinderDownCheckSensor,False
52,B2034_PR1_PR2collisionCheckSensor,N0053_PR1_PR2collisionCheckSensor,False
53,B2035_PR3_PR4collisionCheckSensor,N0054_PR3_PR4collisionCheckSensor,False
54,B2036_UnLoaderPickerCylinderUpCheckSensor,N0055_UnLoaderPickerCylinderUpCheckSensor,False
55,B2037_UnLoaderPickerCylinderDownCheckSensor,N0056_UnLoaderPickerCylinderDownCheckSensor,False
56,B2038_UnLoading1MaterialCheckSensor,N0057_UnLoading1MaterialCheckSensor,False
57,B2039_UnLoading1PositionCheckSensor,N0058_UnLoading1PositionCheckSensor,False
58,B203A_UnLoading2MaterialCheckSensor,N0059_UnLoading2MaterialCheckSensor,False
59,B203B_UnLoading2PositionCheckSensor,N0060_UnLoading2PositionCheckSensor,False
60,B203C_UnLoading3MaterialCheckSensor,N0061_UnLoading3MaterialCheckSensor,False
