NO,LABEL,NAME,CONTACT
0,B1100_PCPowerSwitchLED_Green,N0001_PCPowerSwitchLED_Green,False
1,B1101_ResetSwitchLED_Blue,N0002_ResetSwitchLED_Blue,False
2,B1102_TowerLampLED_Red,N0003_TowerLampLED_Red,False
3,B1103_TowerLampLED_Yellow,N0004_TowerLampLED_Yellow,False
4,B1104_TowerLampLED_Green,N0005_TowerLampLED_Green,False
5,B1105_TowerLampBuzzer_Error,N0006_TowerLampBuzzer_Error,False
6,B1106_TowerLampBuzzer_End,N0007_TowerLampBuzzer_End,False
7,B1107_,N0008_,False
8,B1108_DoorLockSignal1,N0009_DoorLockSignal1,False
9,B1109_DoorLockSignal2,N0010_DoorLockSignal2,False
10,B110A_DoorLockSignal3,N0011_DoorLockSignal3,False
11,B110B_DoorLockSignal4,N0012_DoorLockSignal4,False
12,B110C_DoorLockSignal5,N0013_DoorLockSignal5,False
13,B110D_DoorLockSignal6,N0014_DoorLockSignal6,False
14,B110E_,N0015_,False
15,B110F_,N0016_,False
16,B1110_FFUPowerOnSignal,N0017_FFUPowerOnSignal,False
17,B1111_,N0018_,False
18,B1112_,N0019_,False
19,B1113_LoadingAirBlowSol,N0020_LoadingAirBlowSol,False
20,B1114_LoadingPickerUpSol,N0021_LoadingPickerUpSol,False
21,B1115_LoadingPickerDownSol,N0022_LoadingPickerDownSol,False
22,B1116_Chuck1AirBlow_Rear,N0023_Chuck1AirBlow_Rear,False
23,B1117_Chuck2AirBlow_Front,N0024_Chuck2AirBlow_Front,False
24,B1118_ProbeAirBlowSol1_Rear,N0025_ProbeAirBlowSol1_Rear,False
25,B1119_ProbeAirBlowSol2_Front,N0026_ProbeAirBlowSol2_Front,False
26,B111A_UnloadingPickerUpSol,N0027_UnloadingPickerUpSol,False
27,B111B_UnloadingPickerDownSol,N0028_UnloadingPickerDownSol,False
28,B111C_,N0029_,False
29,B111D_,N0030_,False
30,B111E_,N0031_,False
31,B111F_,N0032_,False
32,B1120_LoadingPickerVacuumSol,N0033_LoadingPickerVacuumSol,False
33,B1121_UnLoadingPickerVacuumSol,N0034_UnLoadingPickerVacuumSol,False
34,B1122_Chuck1VacuumSol_Rear,N0035_Chuck1VacuumSol_Rear,False
35,B1123_Chuck2VacuumSol_Front,N0036_Chuck2VacuumSol_Front,False
36,B1124_LoadingPickerBackVacuumSol,N0037_,False
37,B1125_UnLoadingPickerBackVacuumSol,N0038_,False
38,B1126_,N0039_,False
39,B1127_,N0040_,False
40,B1128_,N0041_,False
41,B1129_,N0042_,False
42,B112A_,N0043_,False
43,B112B_,N0044_,False
44,B112C_,N0045_,False
45,B112D_,N0046_,False
46,B112E_,N0047_,False
47,B112F_,N0048_,False
48,B1130_GapcontrollerStartSignal1,N0049_GapcontrollerStartSignal1,False
49,B1131_GapcontrollerZeroSignal1,N0050_GapcontrollerZeroSignal1,False
50,B1132_GapcontrollerStartSignal2,N0051_GapcontrollerStartSignal2,False
51,B1133_GapcontrollerZeroSignal2,N0052_GapcontrollerZeroSignal2,False
52,B1134_,N0053_,False
53,B1135_,N0054_,False
54,B1136_,N0055_,False
55,B1137_,N0056_,False
56,B1138_,N0057_,False
57,B1139_,N0058_,False
58,B113A_,N0059_,False
59,B113B_,N0060_,False
60,B113C_,N0061_,False
61,B113D_,N0062_,False
62,B113E_ServoOnSig,N0063_ServoOnSig,False
63,B113F_AlarmResetSig,N0064_AlarmResetSig,False
64,B1140_,N0065_,False
65,B1141_,N0066_,False
66,B1142_,N0067_,False
67,B1143_,N0068_,False
68,B1144_,N0069_,False
69,B1145_,N0070_,False
70,B1146_,N0071_,False
71,B1147_,N0072_,False
72,B1148_,N0073_,False
73,B1149_,N0074_,False
74,B114A_,N0075_,False
75,B114B_,N0076_,False
76,B114C_,N0077_,False
77,B114D_,N0078_,False
78,B114E_,N0079_,False
79,B114F_,N0080_,False
80,B1150_,N0081_,False
81,B1151_,N0082_,False
82,B1152_,N0083_,False
83,B1153_,N0084_,False
84,B1154_,N0085_,False
85,B1155_,N0086_,False
86,B1156_,N0087_,False
87,B1157_,N0088_,False
88,B1158_,N0089_,False
89,B1159_,N0090_,False
90,B115A_,N0091_,False
91,B115B_,N0092_,False
92,B115C_,N0093_,False
93,B115D_,N0094_,False
94,B115E_,N0095_,False
95,B115F_,N0096_,False
96,B1160_,N0097_,False
97,B1161_,N0098_,False
98,B1162_,N0099_,False
99,B1163_,N0100_,False
100,B1164_,N0101_,False
101,B1165_,N0102_,False
102,B1166_,N0103_,False
103,B1167_,N0104_,False
104,B1168_,N0105_,False
105,B1169_,N0106_,False
106,B116A_,N0107_,False
107,B116B_,N0108_,False
108,B116C_,N0109_,False
109,B116D_,N0110_,False
110,B116E_,N0111_,False
111,B116F_,N0112_,False
112,B1170_,N0113_,False
113,B1171_,N0114_,False
114,B1172_,N0115_,False
115,B1173_,N0116_,False
116,B1174_,N0117_,False
117,B1175_,N0118_,False
118,B1176_,N0119_,False
119,B1177_,N0120_,False
120,B1178_,N0121_,False
121,B1179_,N0122_,False
122,B117A_,N0123_,False
123,B117B_,N0124_,False
124,B117C_,N0125_,False
125,B117D_,N0126_,False
126,B117E_,N0127_,False
127,B117F_,N0128_,False
